pelvis_tilt_moment,pelvis_list_moment,pelvis_rotation_moment,pelvis_tx_force,pelvis_ty_force,pelvis_tz_force,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,lumbar_extension_moment,lumbar_bending_moment,lumbar_rotation_moment,knee_angle_r_moment,knee_angle_r_beta_force,knee_angle_l_moment,knee_angle_l_beta_force,ankle_angle_r_moment,ankle_angle_l_moment,subtalar_angle_r_moment,subtalar_angle_l_moment,mtp_angle_r_moment,mtp_angle_l_moment
0.301449015599998,-0.0687167349319488,-0.0514078901396001,0.222159177184971,2.00710876424385,-0.0432716045329422,0.000812257243150717,-0.0304390946340894,-0.00725375405705352,0.472996092519621,-0.0814041482698767,0.0210696263065651,-0.0620158699328502,-0.0335055276634791,0.166526253672915,-0.0369528624341794,-8.51251605300015e-05,-0.0875282885825743,-0.000488108115203112,-0.00432698960243685,-0.00965442041263448,-0.0122828480147357,-0.0100562967904531,-0.00105402252323322,-0.00129453511124343
0.15395015713091,-0.0394845005445105,-0.0277746556640897,0.109836211334729,1.18592555042553,-0.0241406574942676,-0.247098948589591,-0.0769387429297575,0.0114845869817075,0.495136101492043,-0.0596452829328116,0.015776299859997,-0.0406277157710279,-0.0400147553452012,0.16699279093715,-0.0057380987010725,-0.000123813076265956,-0.0903800306377625,-0.000545500178718215,0.0351371310754138,-0.00799964182981509,-0.0221392659770559,-0.0091916591387579,-0.00115404522648782,-0.00129834388461165
0.00645129866182215,-0.0102522661570723,-0.00414142118857937,-0.00248675451551227,0.364742336607211,-0.005009710455593,-0.495010154422334,-0.123438391225426,0.0302229280204685,0.517276110464464,-0.0378864175957465,0.0104829734134289,-0.0192395616092055,-0.0465239830269233,0.167459328201386,0.0254766650320344,-0.00016250099200191,-0.0932317726929507,-0.000602892242233319,0.0746012517532644,-0.00634486324699569,-0.0319956839393762,-0.00832702148706271,-0.00125406792974241,-0.00130215265797987
-0.0635765958729764,-0.00526964544063475,0.00561138099298908,-0.0540176058018241,-0.0905451366179432,0.00582926281275687,-0.703506529708836,-0.214740313577424,0.0536378765046995,0.576487504984558,-0.0180320755675706,0.00248519839219854,0.0251844565036069,-0.0695187520772153,0.171907371200373,0.00170387270210649,-0.00025448904491727,-0.105545025851145,-0.000706818649438009,0.104040263009659,-0.00292233215065097,-0.0432384864463771,-0.00760720914525736,-0.00145617086501861,-0.00136796109135262
-0.0296746193369888,0.000220892927991925,0.00168628140080368,-0.0302119990268114,-0.0993731774318813,-0.00714298870893946,-0.826893134032323,-0.333088171928624,0.0742047290192389,0.661123638905369,-0.00406783365238809,-0.0065825732351196,0.0935062517678182,-0.114654820690089,0.181035299217897,-0.110143694534895,-0.000395914643714176,-0.124410320979975,-0.000849482726655089,0.122547333985928,0.00228732334130949,-0.0541496048569092,-0.00713985099611043,-0.00173718443462276,-0.00148881032404296
-0.0119334127318754,0.0139071347024228,0.000290408220032838,-0.019888678996912,-0.156333700105107,-0.0210380709606253,-0.925307536513895,-0.454646563331402,0.0966423929052873,0.718097854449653,0.0114908264982942,-0.0157437675107292,0.153518953603965,-0.154450341499296,0.188603243336551,-0.248204209101133,-0.000510053734288328,-0.136210543511883,-0.00097330321845904,0.127089515937418,0.00697410964121607,-0.0626937288935005,-0.00658467749663009,-0.00195765805544126,-0.0015964009192447
-0.0215580627478077,0.029279354971487,0.00334575528019892,-0.0278531126133976,-0.243256190660124,-0.0162058049941344,-0.966663979283031,-0.580924332112182,0.124532546182579,0.723107627279515,0.0267786253286013,-0.0249327023296427,0.197285998540749,-0.184441337469717,0.187030524127414,-0.420842561375431,-0.000557167292576246,-0.134682360844474,-0.00105351741871086,0.0889748043604398,0.0104194344195286,-0.063666309723885,-0.00581904787929626,-0.00205129096075847,-0.00166663965366043
-0.0311018977108881,0.0271670447718689,0.00771654850862237,-0.0233973248533071,-0.237989838033275,0.0053106639331536,-0.937758104904391,-0.711685934963713,0.161597262996356,0.688405976492432,0.0352177352961078,-0.0323604048631636,0.228150236422846,-0.208353809783134,0.180304385264486,-0.616532635824733,-0.000548716956940165,-0.122768497588361,-0.001096520431068,0.00815185861198537,0.0128238671671607,-0.0561219964325973,-0.00499850785253971,-0.00204665462281952,-0.00168971185599001
-0.00920846940240309,0.00982577137062565,0.00818953624718609,0.000426260845349316,-0.0819121560738883,0.0129647890706482,-0.83241143672175,-0.835155119325015,0.204476981612184,0.624494478641512,0.0262860227981428,-0.0326288559809513,0.259828567014453,-0.237563054482377,0.174413955232096,-0.824515966708643,-0.000504270040652807,-0.103598404680708,-0.00110580471305517,-0.0930744478692445,0.0143516247726493,-0.0427072742270452,-0.00455666697935344,-0.00200483767047875,-0.00167054129182064
0.0120197170414413,-0.00810606657795686,0.00720472593502369,0.0152937413066498,0.0717894087934567,0.00853727764238367,-0.704749559518042,-0.959537558802169,0.2485009686095,0.546556630899938,0.00947010711402313,-0.0291150221598509,0.2884993000373,-0.270683468685432,0.169056687075924,-1.04430382514127,-0.000455008755542269,-0.0813509713887103,-0.00109629100953848,-0.199771661210322,0.0155969968438491,-0.0294829360044485,-0.00432401311000947,-0.00193110884471568,-0.00163421523656577
