calcn_r_Right_GRF_Fx,calcn_r_Right_GRF_Fy,calcn_r_Right_GRF_Fz,calcn_r_Right_GRF_px,calcn_r_Right_GRF_py,calcn_r_Right_GRF_pz,calcn_r_Right_GRF_Tx,calcn_r_Right_GRF_Ty,calcn_r_Right_GRF_Tz,calcn_l_Left_GRF_Fx,calcn_l_Left_GRF_Fy,calcn_l_Left_GRF_Fz,calcn_l_Left_GRF_px,calcn_l_Left_GRF_py,calcn_l_Left_GRF_pz,calcn_l_Left_GRF_Tx,calcn_l_Left_GRF_Ty,calcn_l_Left_GRF_Tz
0.000846073739406891,0.00381148174579234,-0.000644377046973728,-0.0314053171875,-0.0681376578125,-0.0135569253125,0,-0.254170109375,0,0,0,0,0.279452640625,-0.03250016375,-0.0336847040625,0,0,0
0.0119634575868913,0.119268290154388,0.00193421383932752,-0.020820443368671,-0.0670865097923092,-0.0128103930973066,0,-0.661699970873024,0,0,0,0,0.283778228906786,-0.0335444018275737,-0.035757221722269,0,0,0
0.0217527485815696,0.281873013402923,0.00532157653553529,-0.00357491469082154,-0.0667195410183262,-0.0113786925240483,0,-0.935203539411429,0,0,0,0,0.287920258968451,-0.0342224264683391,-0.0376634281341661,0,0,0
0.0292043717282074,0.493285818760255,0.00942182013392287,0.0165662750644229,-0.0664579875878004,-0.00818605576146253,0,-0.954244069557048,0,0,0,0,0.29183177795199,-0.0345410747841966,-0.039438630155031,0,0,0
0.0276366918568768,0.750867850253711,0.0147700376129508,0.0243037132402336,-0.0637316447813421,-0.00420594341132701,0,-0.703592631813269,0,0,0,0,0.295024152443949,-0.0348155469340315,-0.0406678492704945,0,0,0
0.0152636919203624,0.986832935485967,0.0191199192915761,0.035337698369196,-0.0616541770691239,-0.00182686581830781,0,-0.259421749066123,0,0,0,0,0.297637028036056,-0.0351954279307035,-0.041656043537954,0,0,0
-0.009748252797748,1.18670635643642,0.0206827232422226,0.0475205507280898,-0.0596912613589322,0.000392250611578747,0,0.167358467242968,0,0,0,0,0.299619201080907,-0.0357326839951247,-0.042518360620303,0,0,0
-0.0486574841640641,1.32120484334719,0.0163934807837452,0.0613923952155093,-0.0579617169630128,0.00252620434309264,0,-0.0762078419807982,0,0,0,0,0.300816011401964,-0.0365659533460757,-0.0431736354929213,0,0,0
-0.0939334901682224,1.4153927402263,0.0063587257714261,0.0750206329706697,-0.0563730380814973,0.00458154406211251,0,-0.659652195195135,0,0,0,0,0.301286902967202,-0.0376815808701037,-0.0436324770935644,0,0,0
-0.138840527344959,1.48891845871625,-0.0067164028447414,0.087193653730329,-0.0548864094091586,0.00649323594514424,0,-1.52823595042827,0,0,0,0,0.301130707489484,-0.0389000732143131,-0.0441707754618867,0,0,0
-0.177800332076843,1.56255558828774,-0.0210209694253883,0.097681525022349,-0.0535671996288712,0.00821827942145122,0,-2.10038823368233,0,0,0,0,0.300418712240114,-0.040186790145507,-0.0447697192268647,0,0,0
-0.204950958317581,1.64821344647009,-0.0339038565346021,0.106698927623732,-0.0524422804324298,0.00969700467701191,0,-2.40674228711726,0,0,0,0,0.299087942093939,-0.0415668909549436,-0.0453150626967883,0,0,0
-0.218017076550852,1.7438483568696,-0.0440977639577807,0.11422648923378,-0.0515251320730559,0.0109198107638182,0,-2.4678625441265,0,0,0,0,0.297183671560578,-0.0429724137268206,-0.04573401306535,0,0,0
-0.218038992749974,1.84489025048298,-0.0524096690690253,0.120309003487157,-0.0508179909401257,0.0118650171718325,0,-2.15327395923891,0,0,0,0,0.294797386375725,-0.0444081451808579,-0.0461486936613012,0,0,0
-0.205030462153149,1.94642385014255,-0.0587759316816454,0.125040893604501,-0.0502632044887166,0.0124854775894167,0,-1.63343819354965,0,0,0,0,0.29183233308257,-0.0458933709412205,-0.0467077119766428,0,0,0
-0.184810739270205,2.03665950885358,-0.0641274620243298,0.129504938013171,-0.0498178030229682,0.0129731484972544,0,-1.14461841584717,0,0,0,0,0.288351184579922,-0.0474257418102378,-0.0472142092010642,0,0,0
-0.160100227936994,2.11137776541886,-0.0691621279846473,0.133894582284238,-0.0494321174121575,0.0133475702056379,0,-0.820090607387296,0,0,0,0,0.284426159577898,-0.0489834107027702,-0.0477094120868492,0,0,0
-0.132138314693607,2.16762594349582,-0.0729800307208658,0.138306979866761,-0.0490430588351865,0.0136311946023287,0,-0.575781242650892,0,0,0,0,0.27880315914112,-0.051805769865529,-0.0475691877652333,0,0,0
-0.102152368406875,2.20180701401997,-0.0754627738444264,0.142635779277565,-0.0486316779414441,0.0137743789755197,0,-0.351185650747232,0,0,0,0,0.268060779457182,-0.0606281160078718,-0.0422901079664702,0,0,0
-0.0706611802627225,2.21048783662947,-0.0760460355040956,0.14703668506481,-0.0481361180137898,0.0137876509517811,0,-0.164971794816242,0,0,0,0,0.247625308361799,-0.0778985625614423,-0.0349529933271746,0,0,0
-0.0381946207224162,2.19764700088038,-0.0751682511596328,0.15146247432634,-0.0475457811116113,0.0137029940883167,0,-0.0572142671447803,0,0,0,0,0.219202673296519,-0.0994956031674456,-0.0253254663208837,0,0,0
-0.00569333702629743,2.16028164503424,-0.0729997742533133,0.155975864964672,-0.0468292064558999,0.0135326992387551,0,-0.0447548971561596,0,0,0,0,0.19120947766082,-0.118225380728787,-0.0148148806392804,0,0,0
0.0271116625636561,2.09948428135341,-0.069067742495727,0.160334333764989,-0.0460067676996284,0.0132845711808511,0,-0.112617058506856,0,0,0,0,0.162556164587921,-0.135974163747548,-0.00255558954374713,0,0,0
0.0592149244563306,2.02087368808294,-0.0639131785764965,0.164597072346587,-0.0451050774316494,0.0129222290563798,0,-0.195651055539992,0,0,0,0,0.135618610607133,-0.148940181107502,0.00584873190760453,0,0,0
0.089664295822244,1.9238081768687,-0.0582210234129331,0.168714601472475,-0.0441400584216107,0.012440196340331,0,-0.359986200319077,0,0,0,0,0.118222174537376,-0.150064708301633,0.0080218874652287,0,0,0
0.11708276669547,1.81076298965529,-0.0514720950369301,0.17278395421875,-0.043133681875,0.01178810609375,0,-0.554605050312495,0,0,0,0,0.102805410468751,-0.1480661253125,0.00993577937499989,0,0,0
0.140568914196817,1.68600319561025,-0.0444895011811896,0.176835931051287,-0.0420887520439091,0.0109263503028472,0,-0.729950418618672,0,0,0,0,0.0875705531189933,-0.145040442262267,0.0118948965075087,0,0,0
0.159434272954403,1.55124819432438,-0.0371347704800947,0.180927403458275,-0.0409900113076066,0.00986364006247478,0,-0.799628519449455,0,0,0,0,0.0726579675401341,-0.140941886076254,0.0138441816900544,0,0,0
0.173270326576243,1.41089842869269,-0.0299421096184894,0.184966853133291,-0.0398488170468399,0.00856658066730597,0,-0.779400939812566,0,0,0,0,0.058313162890718,-0.135859750319219,0.0157247790675658,0,0,0
0.182215544841679,1.2679866792437,-0.0229185811976998,0.189001104581079,-0.0386163935495619,0.00700033283002159,0,-0.693254266176939,0,0,0,0,0.0446171759931035,-0.13014521162629,0.017504063251397,0,0,0
0.184896006564409,1.12478281027525,-0.015856914996734,0.192912472406186,-0.0373375731765112,0.00509056997566112,0,-0.586774920477165,0,0,0,0,0.0320032661977937,-0.12389051103408,0.0190477345287633,0,0,0
0.181369162808258,0.984520064900614,-0.00925273735717447,0.196639468062842,-0.0361674147326298,0.00333081672142617,0,-0.475862432918035,0,0,0,0,0.0205129144302501,-0.117196644200001,0.0202802429670144,0,0,0
0.17245717799436,0.847550120210256,-0.0035396771119971,0.199727393736245,-0.0354578755541075,0.00269626773280087,0,-0.363360335006729,0,0,0,0,0.010078157215531,-0.110478712394284,0.0211323105956603,0,0,0
0.158295604914878,0.717477810157662,0.00112669900587531,0.202402374061183,-0.0353295754892157,0.00336509380467484,0,-0.247457818506014,0,0,0,0,0.00099756884814171,-0.104006671644227,0.0215865256279198,0,0,0
0.140731609848874,0.595479488211604,0.00485644775143466,0.206126630561318,-0.034723581672757,0.00263662066566009,0,-0.152857889724196,0,0,0,0,-0.00684392574343717,-0.0978717471237323,0.0217722324541551,0,0,0
0.1209348619203,0.483332607145403,0.00742654557368926,0.211566134405114,-0.0336354028065724,0.00233474986509947,0,-0.0436412110011396,0,0,0,0,-0.0135165804051486,-0.0923146714507799,0.0215902396290275,0,0,0
0.100504821448975,0.382058342573719,0.00913599165104594,0.218644523854613,-0.031627073847267,0.000890389472950556,0,0.0786395252933029,0,0,0,0,-0.0191273863024437,-0.0874535840033659,0.0211211076082806,0,0,0
0.0811208337467767,0.293713169232923,0.00992705156090504,0.226062799254971,-0.0290483981474131,-0.00121058527110379,0,0.278237974688601,0,0,0,0,-0.0237294411534654,-0.0833612950545545,0.0205044931794943,0,0,0
0.0622269271027005,0.219178847610499,0.00940879500984472,0.232811545989571,-0.0266796694934389,-0.00230360893930336,0,0.457324729374229,0,0,0,0,-0.0273958263237462,-0.0800519342786949,0.0197169408586775,0,0,0
0.0439717467655955,0.157019699327017,0.00797964960427009,0.238325652153569,-0.0252679144805966,-0.00281247986861241,0,0.580104430936805,0,0,0,0,-0.0303122377565935,-0.0774313080274559,0.0188521991604011,0,0,0
0.028498976189262,0.109517281955975,0.00627259519699513,0.242686004310004,-0.0248476709764715,-0.00357286069730267,0,0.542877506886987,0,0,0,0,-0.0325674653752098,-0.0753941739329486,0.0178884136634202,0,0,0
0.0174138884921921,0.0726917187398309,0.0038689457917523,0.243981687044148,-0.0275319895222748,-0.000752702750556731,0,0.5526992516181,0,0,0,0,-0.0341996581346902,-0.0738631330035079,0.0168924306314095,0,0,0
0.00952559207468173,0.0430999123061935,0.00212687780987925,0.246233545997798,-0.0297662958602333,0.0024386966446604,0,0.541796901070351,0,0,0,0,-0.0353904037630658,-0.072628381305592,0.0159038589133255,0,0,0
