pelvis_tilt_moment,pelvis_list_moment,pelvis_rotation_moment,pelvis_tx_force,pelvis_ty_force,pelvis_tz_force,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,lumbar_extension_moment,lumbar_bending_moment,lumbar_rotation_moment,knee_angle_r_moment,knee_angle_r_beta_force,knee_angle_l_moment,knee_angle_l_beta_force,ankle_angle_r_moment,ankle_angle_l_moment,subtalar_angle_r_moment,subtalar_angle_l_moment,mtp_angle_r_moment,mtp_angle_l_moment
0.135535808250394,0.0880722777617444,0.0249747596272904,0.155808032948126,0.80184333478187,0.147834589760358,0.147685788191974,0.0602286372180944,0.0167841585560733,0.123649205321167,0.0776155809113156,0.015386425610568,0.0803985332823886,0.0577508756433211,0.052620943892958,0.0588242647120655,5.14374885054394e-05,0.0438972001088362,7.50520030380476e-05,0.00949241056071068,0.013525888003389,0.0103902348649029,0.00466235285761197,0.000323873966396426,0.000263662606474271
0.0774252055008933,0.0401479333329666,0.0152062382105801,0.0877553306564042,0.523512874137666,0.0732886485697623,0.122148080253036,0.0239552470215517,0.0247918876858097,0.120799937558862,0.073642392157139,0.0134686493332432,0.0820775746863373,0.0588874449038513,0.0555187005886358,0.0708349189822372,5.06752134175057e-05,0.0416776790982894,6.70407170427576e-05,0.0341004361552392,0.0132836127064176,0.0261518560185454,0.00432890033183935,0.000325572272338498,0.000264692419579707
0.0309807968519022,0.0231623181470034,0.00986713518539087,0.0350437721968023,0.270386055827645,0.0191378513108315,0.12434822939292,0.0476899728039908,0.0453413984313754,0.119833348916836,0.0727157320508635,0.0125216710435678,0.084175142287862,0.0614771248549656,0.0585626918854093,0.11404386913477,4.99797508593544e-05,0.0399081087355662,6.23207542467214e-05,0.0717521515527856,0.0130532837540732,0.0446672499585654,0.00408374342428064,0.000329547455981598,0.000267337546822169
0.0458130518887226,0.0298741093632617,0.00520971106634339,0.0387748253291767,0.132115800015319,0.0324494875552859,0.137715850892488,0.0640224898821328,0.0576698022200493,0.136707992507684,0.0762027334821744,0.01329514176008,0.0804789589495574,0.0675385575931883,0.0665889385616062,0.15521986997458,4.85447413784978e-05,0.0424717236233858,6.50948151609641e-05,0.0909687927594658,0.0129316341817953,0.0582465478348555,0.0039577062929621,0.000352358788044233,0.000273795662591097
0.0417288742160284,0.0154446967056118,0.00331683706385005,0.0434958734188795,0.182086677187962,0.0177703961157072,0.122470715797294,0.0775982480915674,0.0569754123870782,0.167317416331315,0.0814433102729569,0.0144815252703878,0.0906437744525559,0.0673075311009415,0.0809421073200222,0.170928943721517,5.79916416292528e-05,0.0490148145514045,7.92459310663901e-05,0.134322914534269,0.0126901700628984,0.0654350495279733,0.00403382193960963,0.000394973250364085,0.000304390284301334
0.0303120048751723,0.0513245743879284,0.00488603882339992,0.052003387442035,0.193379408700816,0.0530237253142377,0.111285960727824,0.115018251783293,0.05630756330767,0.180819557662768,0.0876276248268917,0.0174351932301296,0.103272777334039,0.0653754610238901,0.0904650233776158,0.18282212988218,5.92119181069727e-05,0.0523171686411124,8.81028015908264e-05,0.196001720657357,0.0122175735523279,0.0816237246769671,0.00416442248163403,0.000416618377089722,0.00033832712635275
0.0226699265542,0.052378185018918,0.00876107704133951,0.0288016659002897,0.129965082140139,0.0579744316136795,0.116413381608639,0.150756502231604,0.0606631753381379,0.188935579236156,0.0920142599863335,0.0217070248788782,0.112410114172302,0.0675358212493449,0.0925630142413013,0.188151494837279,3.59299431480009e-05,0.0529746376862388,9.90152608242126e-05,0.269504971472315,0.011321246455783,0.101089147493332,0.00436211807068107,0.000416522462138199,0.000380445343283652
0.0244529712680347,0.0214004970153863,0.00895806150753966,0.0192186143202982,0.0681156258945939,0.0295692497002039,0.121372113427393,0.173580904233149,0.0714638321301345,0.196006800147266,0.0963448164913225,0.0263996011103949,0.112317522279441,0.0725041090419612,0.0911945786790766,0.184172160612607,5.6392313116521e-05,0.0542778745492334,0.00013036038285962,0.335445443626861,0.0108297541601606,0.119825714266111,0.00438358350306148,0.000432397621552444,0.000404031437256493
0.0194957717203864,0.0148483916818862,0.00610555744632246,0.0432463843033321,0.0887214654988401,0.0275118285104957,0.103602626539358,0.198166027433409,0.0864185433779345,0.185407209406213,0.106370922304409,0.0285931809738787,0.114154210580412,0.0804307555593721,0.0918666507315788,0.183811001017904,5.95534338996319e-05,0.0498917583879625,0.000142785979747651,0.387787934018623,0.00983893730458572,0.142730542768808,0.00442978703883816,0.000480237029436469,0.000423398496884272
0.0199791738283996,0.0209564133354409,0.00510920668716444,0.0374798913654675,0.114053832651118,0.0367780471265853,0.0805231916922983,0.225561494866857,0.103008946656082,0.169867131934534,0.114449599193939,0.0337923908879404,0.116329026323466,0.0926755188225757,0.0933740791373405,0.201396882163426,4.80949758000935e-05,0.0469228770724157,0.000156962902863708,0.425696528591523,0.00913550646774079,0.160434193390639,0.00455044665656843,0.000518566634043326,0.000439075713733058
