Muscles,welk002,welk003,welk005,welk008,welk009,welk010,welk013,average,SE,STD,rank
quads_r,0.037888845,-0.065567098,-0.068807261,-0.293427619,-0.216875354,-0.191935756,-0.148936844,-0.135380155,0.038948094,0.103046971,1
hipflexors_r,-0.068797502,-0.045063224,-0.124354381,-0.225569477,-0.095250143,-0.114839396,-0.097360894,-0.110176431,0.020140978,0.053288018,2
hipabductors_r,-0.189855193,-0.030536247,-0.057806259,-0.159947749,-0.072302356,-0.070047117,-0.09551779,-0.096573244,0.02014004,0.053285537,3
hamstrings_r,-0.086533775,0.046194463,-0.202064498,-0.045872074,-0.139530215,-0.044343641,-0.178501667,-0.092950201,0.030430931,0.080512676,4
hipadductors_r,-0.035734826,-0.057056719,-0.068715805,-0.094774082,-0.098790688,-0.079694689,-0.019366859,-0.064876238,0.010360709,0.027411859,5
hipextensor_r,-0.038894974,-0.00729034,-0.013792055,-0.042048592,-0.147954697,-0.051529252,-0.017044838,-0.045507821,0.016820737,0.044503488,6
plantarflex_r,-0.056871675,-0.129888234,-0.051911267,0.356599374,0.232706589,0.022075388,-0.310266141,0.008920576,0.078286621,0.20712693,7
dorsiflex_r,0.063604753,0.104791208,-0.047882716,0.025566472,0.087733473,-0.04567202,0.048325455,0.033780946,0.021238942,0.056192958,8
