HOBL_tension,calcn_r_Right_GRF_Fx,calcn_r_Right_GRF_Fy,calcn_r_Right_GRF_Fz,calcn_r_Right_GRF_px,calcn_r_Right_GRF_py,calcn_r_Right_GRF_pz,calcn_r_Right_GRF_Tx,calcn_r_Right_GRF_Ty,calcn_r_Right_GRF_Tz,calcn_l_Left_GRF_Fx,calcn_l_Left_GRF_Fy,calcn_l_Left_GRF_Fz,calcn_l_Left_GRF_px,calcn_l_Left_GRF_py,calcn_l_Left_GRF_pz,calcn_l_Left_GRF_Tx,calcn_l_Left_GRF_Ty,calcn_l_Left_GRF_Tz
45.7795600085714,0.000782080142092494,0.00370926070951965,-0.000477140631793993,-0.03231941,-0.0723208117857143,-0.0145726003571429,0,-0.198235267857143,0,0,0,0,0.273998476785714,-0.0359338489285714,-0.0284376492857143,0,0,0
44.5810603011472,0.0128503273214113,0.115698115595506,0.00359055672831541,-0.0221008891997526,-0.0711112002703489,-0.0129245372344129,0,-0.472118476825794,0,0,0,0,0.277677964590407,-0.0376602923462315,-0.0303343009293722,0,0,0
43.2448722190302,0.0237370426319452,0.272144088288676,0.00801622930048001,-0.004539259777913,-0.0706878204613685,-0.0109145983178034,0,-0.697203632331363,0,0,0,0,0.281174796281618,-0.0390169295300666,-0.0321099954214632,0,0,0
41.752379563714,0.0324443178929689,0.475930142928025,0.0126631797232679,0.0163478899041749,-0.0704496982955715,-0.00734096038640938,0,-0.7175166524222,0,0,0,0,0.284445055586298,-0.0400003247239652,-0.0337986067442009,0,0,0
39.9780982004289,0.0322836044852964,0.724255490267145,0.0177242347139524,0.0243672939374784,-0.0677639659139546,-0.0036648657416841,0,-0.476180221974381,0,0,0,0,0.286992587401986,-0.0409388204007142,-0.0349280466106629,0,0,0
37.9911740802523,0.02174796345765,0.954669082440318,0.0209783358605648,0.0357666399219383,-0.0656637475432844,-0.00142605539949464,0,-0.0908057841112859,0,0,0,0,0.288980340791207,-0.0419437635279469,-0.0358429236862332,0,0,0
35.7786869069255,-0.00192558312458971,1.15264923002609,0.0212197164717479,0.0481890016007907,-0.0635853176389906,0.000831031511369043,0,0.288374607729578,0,0,0,0,0.290336591284148,-0.043068983326733,-0.0366540363066821,0,0,0
33.2976281863119,-0.0401892505491662,1.29115723604016,0.0158703197806208,0.0622042427961352,-0.0616568354725837,0.00310104253741183,0,0.0127742388855082,0,0,0,0,0.290916028058416,-0.0444375726440242,-0.037267872883827,0,0,0
30.5780245927948,-0.0849614132953109,1.39421671136183,0.00614451956198148,0.0758840392002356,-0.0598445792354953,0.00520527617760201,0,-0.634341239704341,0,0,0,0,0.290829652661251,-0.045984867881447,-0.037685540091829,0,0,0
27.6273515037622,-0.129491705120658,1.47512935174308,-0.00568061546739754,0.0879780598593436,-0.0581446660379711,0.00709210751903568,0,-1.58173313510944,0,0,0,0,0.290145747504605,-0.0475436727329348,-0.0382106223130339,0,0,0
24.4687156108866,-0.167635529556507,1.55576527574699,-0.0175636287465319,0.0982619760969703,-0.05664032171871,0.00871152255308711,0,-2.15997598492267,0,0,0,0,0.288949095417274,-0.0490710458805794,-0.0388208619735596,0,0,0
21.1146706126641,-0.194814869532276,1.64496446073454,-0.0271367384967205,0.107017765666695,-0.0553648212795181,0.0100211420482172,0,-2.37452869913732,0,0,0,0,0.287275121501757,-0.0505138402215942,-0.0393928096508802,0,0,0
17.5873958329584,-0.207891654397348,1.74278877977172,-0.0346525342235383,0.114303921491237,-0.0543415389345033,0.0111134116238523,0,-2.41629504730728,0,0,0,0,0.285083102840829,-0.0518802152332863,-0.0398366303598682,0,0,0
13.9705562716082,-0.208130615602136,1.84430507502894,-0.041001633370061,0.120186008234207,-0.0535728322026028,0.0119684500913227,0,-2.10848197699742,0,0,0,0,0.282478218589149,-0.0531780657957124,-0.0402929229335527,0,0,0
10.3701377809918,-0.196923537667948,1.94395617260377,-0.0464609952425836,0.124960318939063,-0.0529992035397195,0.0125944232072416,0,-1.56124942859081,0,0,0,0,0.279421705718626,-0.0543888177048005,-0.0409448322501539,0,0,0
7.56849833728848,-0.179090255032578,2.03110684675002,-0.051693950961189,0.129530882372196,-0.0525553598833922,0.0131467470325764,0,-1.0578249340039,0,0,0,0,0.275949399519911,-0.0555526252831289,-0.0415665790869305,0,0,0
5.21840894385518,-0.157022516552305,2.10171355310865,-0.0571214169635942,0.134060289889785,-0.0521871744238516,0.0136204228309668,0,-0.748331303641029,0,0,0,0,0.272107680605544,-0.0566727768134454,-0.0422027974268746,0,0,0
3.19559142254392,-0.131868413434225,2.15377559919026,-0.0616166093203908,0.138623021015941,-0.0518288892934487,0.014039168992438,0,-0.537576283550056,0,0,0,0,0.266496074821347,-0.0591576931898472,-0.042151399795967,0,0,0
1.62134753924853,-0.104487238822297,2.18533494494589,-0.0648952131272249,0.143092944174043,-0.0514700945209072,0.0143505795642554,0,-0.349913484938293,0,0,0,0,0.254971855441584,-0.0671226823000496,-0.0389631424168178,0,0,0
0.579523537880489,-0.075106762669731,2.19142928453966,-0.0662664705400638,0.147602093354597,-0.0510351741690168,0.0145407569531598,0,-0.203455999682904,0,0,0,0,0.232757841592511,-0.0842932293582728,-0.0330039999075013,0,0,0
0.0440361900119184,-0.0442204078943746,2.17678343275552,-0.0662505454357037,0.152081498515818,-0.0505131534132701,0.0146435182437905,0,-0.142991937094033,0,0,0,0,0.201946760196021,-0.106115248977081,-0.023260757223867,0,0,0
