metabolics_all_avg,subjectname,condname,experimentname,trialname
9.309643459,welk002,welknaturalnatural,welker,trial04
9.665985791,welk003,welknaturalnatural,welker,trial01
9.665985791,welk003,welknaturalnatural,welker,trial02
9.665985791,welk003,welknaturalnatural,welker,trial03
9.665985791,welk003,welknaturalnatural,welker,trial04
8.651634349,welk004,welknaturalnatural,welker,trial01
8.651634349,welk004,welknaturalnatural,welker,trial02
8.651634349,welk004,welknaturalnatural,welker,trial03
8.651634349,welk004,welknaturalnatural,welker,trial04
10.877859,welk001,welknaturalexo,welker,trial01
10.877859,welk001,welknaturalexo,welker,trial02
10.877859,welk001,welknaturalexo,welker,trial03
10.877859,welk001,welknaturalexo,welker,trial04
9.245516159,welk002,welknaturalexo,welker,trial01
9.245516159,welk002,welknaturalexo,welker,trial02
9.245516159,welk002,welknaturalexo,welker,trial03
9.245516159,welk002,welknaturalexo,welker,trial04
9.524164711,welk003,welknaturalexo,welker,trial01
9.524164711,welk003,welknaturalexo,welker,trial02
9.524164711,welk003,welknaturalexo,welker,trial03
9.524164711,welk003,welknaturalexo,welker,trial04
9.125246069,welk004,welknaturalexo,welker,trial01
9.125246069,welk004,welknaturalexo,welker,trial02
9.125246069,welk004,welknaturalexo,welker,trial03
9.125246069,welk004,welknaturalexo,welker,trial04
10.97161462,welk001,welkexonatural,welker,trial01
10.97161462,welk001,welkexonatural,welker,trial02
10.97161462,welk001,welkexonatural,welker,trial03
10.97161462,welk001,welkexonatural,welker,trial04
9.373799849,welk002,welkexonatural,welker,trial01
9.373799849,welk002,welkexonatural,welker,trial02
9.373799849,welk002,welkexonatural,welker,trial03
9.373799849,welk002,welkexonatural,welker,trial04
9.593973631,welk003,welkexonatural,welker,trial01
9.593973631,welk003,welkexonatural,welker,trial02
9.593973631,welk003,welkexonatural,welker,trial03
9.593973631,welk003,welkexonatural,welker,trial04
9.092757149,welk004,welkexonatural,welker,trial01
9.092757149,welk004,welkexonatural,welker,trial02
9.092757149,welk004,welkexonatural,welker,trial03
9.092757149,welk004,welkexonatural,welker,trial04
10.58025995,welk001,welkexoexo,welker,trial01
10.58025995,welk001,welkexoexo,welker,trial02
