metabolics_all_avg,subjectname,condname,experimentname,trialname
2.8795,sild027,sildbw0,silder,trial01
10.34338,sild027,sildbwrun0,silder,trial01
3.11859,sild027,sild10w0,silder,trial01
11.86248,sild027,sild10wrun0,silder,trial01
3.37076,sild027,sild20w0,silder,trial01
13.33318,sild027,sild20wrun0,silder,trial01
3.98624,sild027,sild30w0,silder,trial01
14.47248,sild027,sild30wrun0,silder,trial01
3.20368,sild028,sildbw0,silder,trial01
2.15286,sild028,sildbwrun0,silder,trial01
3.71995,sild028,sild10w0,silder,trial01
2.72564,sild028,sild10wrun0,silder,trial01
2.67008,sild029,sild20w0,silder,trial01
9.45004,sild029,sild20wrun0,silder,trial01
2.63553,sild029,sild30w0,silder,trial01
9.96024,sild029,sild30wrun0,silder,trial01
3.33849,sild029,sildbw0,silder,trial01
10.82404,sild029,sildbwrun0,silder,trial01
3.14477,sild029,sild10w0,silder,trial01
8.86464,sild029,sild10wrun0,silder,trial01
4.37876,sild029,sild20w0,silder,trial01
5.37406,sild030,sild20wrun0,silder,trial01
7.69209,sild030,sild30w0,silder,trial01
4.53108,sild030,sild30wrun0,silder,trial01
6.24208,sild030,sild10w5,silder,trial01
8.60448,sild030,sild10w10,silder,trial01
5.18832,sild030,sild20w0,silder,trial01
7.87316,sild030,sild20w5,silder,trial01
9.522,sild030,sild20w10,silder,trial01
5.36401,sild030,sild30w0,silder,trial01
7.54282,sild030,sild30w5,silder,trial01
10.2211,sild030,sild30w10,silder,trial01
2.26452,sild031,sildbw0,silder,trial01
10.89389,sild031,sildbwrun0,silder,trial01
2.42397,sild031,sild10w0,silder,trial01
11.87479,sild031,sild10wrun0,silder,trial01
3.40154,sild031,sild20w0,silder,trial01
12.94659,sild031,sild20wrun0,silder,trial01
2.62898,sild031,sild30w0,silder,trial01
13.48069,sild031,sild30wrun0,silder,trial01
3.03817,sild032,sildbw0,silder,trial01
10.37678,sild032,sildbwrun0,silder,trial01
3.19677,sild032,sild10w0,silder,trial01
9.81468,sild032,sild10wrun0,silder,trial01
3.63608,sild032,sild20w0,silder,trial01
11.47968,sild032,sild20wrun0,silder,trial01
3.90814,sild032,sild30w0,silder,trial01
11.65168,sild032,sild30wrun0,silder,trial01
1.57349,sild033,sildbw0,silder,trial01
7.92065,sild033,sildbwrun0,silder,trial01
2.52306,sild033,sild10w0,silder,trial01
9.48104,sild033,sild10wrun0,silder,trial01
1.70997,sild033,sild20w0,silder,trial01
9.18284,sild033,sild20wrun0,silder,trial01
2.84494,sild033,sild30w0,silder,trial01
11.29034,sild033,sild30wrun0,silder,trial01
3.69776,sild034,sildbw0,silder,trial01
13.77467,sild034,sildbwrun0,silder,trial01
4.048,sild034,sild10w0,silder,trial01
13.33297,sild034,sild10wrun0,silder,trial01
2.62899,sild034,sild20w0,silder,trial01
2.97671,sild034,sild30w0,silder,trial01
3.52393,sild035,sildbw0,silder,trial01
10.78113,sild035,sildbwrun0,silder,trial01
3.55587,sild035,sild10w0,silder,trial01
10.36183,sild035,sild10wrun0,silder,trial01
2.90484,sild035,sild20w0,silder,trial01
11.63063,sild035,sild20wrun0,silder,trial01
3.95434,sild035,sild30w0,silder,trial01
12.04473,sild035,sild30wrun0,silder,trial01
