pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
-10.2334091025,-3.2799432625,-0.769299587857143,1.19401779285714,0.56822908498002,-0.504200185714286,30.5162245764286,4.99921704,-4.36553729571429,9.14360068,3.41893810714286,3.37225536071429,0,0,-8.55088441964286,-3.33823447642857,-6.68154342285714,28.4176771564286,7.39882323785714,-13.40587225,0,0,1.25700950071429,5.03101114357143,-12.9663881092857,-15.9359128375,-13.6376583975,-8.55845949428571,105.622671074643,65.8928770664286,0,0,-5.1044247525,-16.9370144885714,-3.83539680785714,106.032232277857,66.0822302785714,0,0
-9.91103727831784,-3.160812359325,-0.770033736014298,1.19421331034286,0.567002521781256,-0.503933397489286,30.0223104654857,5.02819550842857,-4.30862476563931,10.23620969325,3.71072070037498,3.43380906651786,0,0,-7.99238256065716,-3.38359858284642,-6.29514335373575,31.0529693720643,8.08826722951423,-11.8462755617179,0,0,0.852767846507128,4.98436595978928,-12.7077702395786,-15.7045482641572,-13.7286227753,-8.55589026694643,105.636298935736,65.891420756,0,0,-5.15749856894286,-16.9675581675179,-3.83116824573214,105.975695578279,66.0722019534821,0,0
-9.61559681588572,-3.06985569331429,-0.793589749257159,1.19426460830714,0.565634854660248,-0.50368906235,29.5502053407857,5.08083898495714,-4.18032777028574,11.4605067670571,4.04967662721423,3.18946893982855,0,0,-7.31615470475719,-3.45222233866427,-5.93305187340719,33.7570677875785,8.79557396202847,-10.2377576355143,0,0,0.455686528957159,4.97453950645715,-12.3960917820857,-15.4607150394,-13.8350534959428,-8.5380155788,105.648232455557,65.8865741133143,0,0,-5.22150778743572,-16.9890635819071,-3.81678175281429,105.903478853914,66.0583932526214,0,0
-9.33983910257504,-3.02504780229285,-0.848612401200018,1.19416370108571,0.564097650887418,-0.503449828389286,29.0828497295394,5.18110824674998,-3.97212948413574,12.8266063162498,4.43890656288921,2.64359477910361,0,0,-6.51197322545728,-3.5706146391071,-5.61935122797507,36.5405787623853,9.52322515587127,-8.58847948818237,0,0,0.0534291848786313,5.02547756718214,-12.0123623226286,-15.1959935767786,-13.9666932973821,-8.49588499105715,105.656468422543,65.8773313468643,0,0,-5.30615675097501,-16.9963965615071,-3.79178088797145,105.809785975614,66.0390488756464,0,0
-9.00037824797145,-3.02691825047142,-0.939296939514293,1.19384109974286,0.562375977827227,-0.503204007942857,28.5198876203858,5.34545709137142,-3.64383740131431,14.2364406631856,4.85126420484281,2.05315427578575,0,0,-5.64096335564296,-3.75871559908568,-5.41653069427144,39.3779172501997,10.2768508773999,-6.94258405690013,0,0,-0.458951439571383,5.13504661287142,-11.5321595745143,-14.8788349194572,-14.1086918784857,-8.46207359368571,105.647228521514,65.8729305923143,0,0,-5.38740467201429,-16.9734951627286,-3.81229958348572,105.687987656229,66.0182506024,0,0
-8.67301711550001,-3.09715932657142,-1.06074840855358,1.19330176508929,0.560558654945187,-0.502931602178571,28.0113853505179,5.57727898749999,-3.335810598125,15.7567279417678,5.26680144924998,1.89994547149997,0,0,-4.66738486280362,-4.02504447212498,-5.28323641821429,42.2426329542856,11.0355332356071,-5.34689872548217,0,0,-0.990689893392833,5.32723394548213,-10.9811341781964,-14.5411547971429,-14.2626386994107,-8.41858582603571,105.632271333875,65.8675994440714,0,0,-5.467167226875,-16.9366449850179,-3.84071484144643,105.542534554286,65.9955062330893,0,0
-8.36196695430715,-3.28147157605714,-1.23314073951429,1.19244902439286,0.558637101095378,-0.502601920228571,27.6006318921929,5.91799954879286,-3.1089315078643,17.4480995673857,5.68813894077855,2.28027943219286,0,0,-3.5609366896286,-4.43161891959285,-5.22778963032859,45.1285713103428,11.7998540600785,-3.82564651499286,0,0,-1.55531863009285,5.66095601710714,-10.3117767816786,-14.1623665255715,-14.4502336303643,-8.32841658645714,105.6035483568,65.8576120864571,0,0,-5.56633386817857,-16.88069941045,-3.87796892666429,105.353223842579,65.9649614639214,0,0
-8.04915384299646,-3.55042800229641,-1.48632527832142,1.19112551692143,0.556702542839065,-0.502159857764286,27.3781011524179,6.34889234501069,-2.900051608675,19.5323999686249,6.22299143909994,3.10253923044997,0,0,-2.34070346104292,-4.9485050668071,-5.25601483818571,48.0176969937963,12.5700677988249,-2.34204901525717,0,0,-2.20811503176781,6.0917256298607,-9.49099860220361,-13.7585046808822,-14.6393406626678,-8.24256217254285,105.5677392603,65.8477333115214,0,0,-5.66602922702857,-16.80610082595,-3.93304246949643,105.158291728775,65.9316345470429,0,0
-7.74807771195716,-3.86997665219996,-1.79913454662855,1.18947218934286,0.554778933949887,-0.501623796742857,27.3338762135714,6.85892134084278,-2.6269137015429,21.9632197410712,6.85526595094277,4.29897290581402,0,0,-1.01600330305734,-5.5409970972142,-5.3183853418,50.8879501253425,13.3441016421142,-0.93583980274301,0,0,-2.91805077561422,6.57971972382852,-8.55474388080008,-13.3267187711286,-14.8456747822571,-8.13450750798572,105.5247912988,65.8336241587714,0,0,-5.7629282058,-16.7065722175857,-4.00620704351428,104.942317600171,65.8923736035,0,0
-7.51169060879642,-4.15873041750357,-2.16952973316785,1.18744848711429,0.552834889580362,-0.500999127157143,27.5269307633107,7.40525841760354,-2.09593626033219,24.7787265235498,7.61874898364991,5.86560541893561,0,0,0.470286844285605,-6.10967165682496,-5.38945426045714,53.6926147955963,14.1204438732999,0.419131476224867,0,0,-3.61982164862499,7.01267568513929,-7.5232436574536,-12.851317895625,-15.0824134600714,-7.95780352162859,105.441139905175,65.8106328159286,0,0,-5.86188915552143,-16.5905533826429,-4.08878494114285,104.676504922382,65.8444059044786,0,0
