Muscles,welk002,welk003,welk005,welk008,welk009,welk010,welk013,average,SE,STD,rank
hipflexors_r,-0.086201012,-0.014667877,-0.284501576,-0.302773662,-0.17916953,-0.159235739,-0.226543709,-0.179013301,0.036342548,0.096153344,1
plantarflex_r,-0.019469066,-0.063101513,-0.08540534,-0.102586876,-0.111590933,-0.047755782,-0.299154764,-0.104152039,0.032094305,0.084913551,2
quads_r,0.002714703,-0.02200936,-0.233016873,-0.196339438,-0.089218467,0.039697971,0.050935147,-0.063890903,0.039613887,0.104808493,3
hipadductors_r,-0.032141416,-0.08149406,-0.121022997,-0.04048789,-0.053535595,-0.060441674,-0.020938942,-0.058580368,0.011863394,0.031387591,4
hipabductors_r,-0.084468687,0.00043352,-0.046784979,-0.06911677,0.005316503,-0.044496359,-0.005571006,-0.034955397,0.012443487,0.032922372,5
hamstrings_r,-0.001135547,-0.046110711,-0.102997721,0.033049256,-0.059127595,0.08736779,-0.076803042,-0.023679653,0.023443854,0.062026607,6
hipextensor_r,0.000320667,0.009333436,-0.023380388,-0.015272226,-0.035031112,-0.005415851,-0.029091859,-0.014076762,0.005683595,0.015037378,7
dorsiflex_r,0.116888652,0.114794405,-0.010264922,0.074964861,0.177450927,-0.091518314,0.196748186,0.082723399,0.035924515,0.095047333,8
