pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
-9.74089552857143,-3.06098473,-0.286770598214286,1.16763723678571,0.568681418572372,-0.485543795357143,29.3639038196429,5.53406712107143,-6.44444637071429,8.47535783571429,3.3304209,1.73424561107143,0,0,-11.8066914325,-3.22740834321429,-5.35115238607143,31.7940502907143,8.81976220607143,-19.7798017935714,0,0,-1.33653429607143,4.86603081,-14.3531729807143,-16.1747408975,-13.3241437882143,-9.51510549892857,105.5280615025,65.791935635,0,0,-4.28177466428571,-16.9383682942857,-3.88943653928571,105.593563569286,66.0941138921429,0,0
-9.24688760398216,-2.99056723690714,-0.455514505389286,1.16744920840714,0.566961187046433,-0.485083721785714,28.9488748595929,5.636706357225,-6.26332272237855,9.72209159941072,3.68936489464286,2.17250287896786,0,0,-11.2563198298821,-3.30632328634285,-4.8259470402143,35.4848702852464,9.79661131825001,-18.8958443671143,0,0,-2.00563410073213,4.93431921446427,-13.8288176124572,-15.8909244736786,-13.4305554271464,-9.52492826476072,105.550008761907,65.7899554180786,0,0,-4.3857326689,-16.9904463938179,-3.91983442663929,105.481851529725,66.075612146525,0,0
-8.75595298810713,-2.99773603461428,-0.657709720992855,1.16709453869286,0.565062298464709,-0.484665558614286,28.5580045583214,5.80049999599286,-6.06894799656425,11.2254804074785,4.10979454544286,2.18770572170005,0,0,-10.6032106665786,-3.47117099597143,-4.43037817855003,39.2914182919999,10.79705161475,-17.9851849393786,0,0,-2.69399170194287,5.09450539529999,-13.21893895275,-15.58265225725,-13.5692501748357,-9.49243861904285,105.558197839921,65.79492500155,0,0,-4.52295695927857,-17.0059515592929,-4.01762849762143,105.348058077957,66.0515235566428,0,0
-8.25397289490716,-3.06307491642141,-0.890566115196402,1.16660594197857,0.562986598674781,-0.48426888365,28.1709404952214,6.01042998124997,-5.89354942894285,12.9744319937892,4.59469936094645,1.86502721947141,0,0,-9.8790877821536,-3.70482614324996,-4.15916518920354,43.1718630733284,11.8146440820393,-17.09611586385,0,0,-3.4155935280214,5.32040837066782,-12.5361874714822,-15.24886298295,-13.7388637192928,-9.41988488748213,105.55313982855,65.8059031605607,0,0,-4.68949982091071,-16.9873068532357,-4.17367723210356,105.192095984543,66.0223613892071,0,0
-7.66788623008574,-3.19715100905712,-1.15993042022855,1.16601542884286,0.560718838533754,-0.483867194228571,27.7031536600286,6.26944275565711,-5.83082183767142,15.0418034775142,5.1808732781286,1.30478308438569,0,0,-9.17720295704288,-4.04004451814283,-4.06073501285713,47.0357912756427,12.8337849533286,-16.3430780057715,0,0,-4.2592380854714,5.62028703442853,-11.7823259102429,-14.8367443116715,-13.9257200094286,-9.34967054771429,105.527885385286,65.8088197549286,0,0,-4.82937978978571,-16.9577601354,-4.26648420054285,105.0177556953,65.9964805093143,0,0
-7.09764562435715,-3.51219689160713,-1.44690673889287,1.16511059491071,0.558313747987946,-0.483394328982143,27.3074073135536,6.73381028432143,-5.73354170323212,17.3410729873928,5.79868834746428,1.72279118328565,0,0,-8.33839994435714,-4.6298516819107,-4.09323582616071,50.957088620625,13.8404853978393,-15.569945130125,0,0,-5.12493444730355,6.10687018192856,-10.92802423125,-14.4026266155,-14.1274084351964,-9.25586994964286,105.490488170143,65.8107633260178,0,0,-4.97834620564285,-16.9077120217143,-4.36256067073214,104.823044453786,65.968499773625,0,0
-6.58834937077855,-3.89155486117857,-1.80971179924286,1.16382355901429,0.555806797812349,-0.482807375957143,27.1237333020928,7.27159961780714,-5.54680515781432,20.0680442774142,6.46434068039283,2.83128205229275,0,0,-7.34756141158575,-5.30543456711426,-4.23370283005713,54.8886036775143,14.8368952782714,-14.7756104851715,0,0,-5.98428941803572,6.63971694047142,-9.94537498606429,-13.9409450374929,-14.3525738663,-9.11742193442858,105.432576043386,65.8139193957571,0,0,-5.14468787979999,-16.8360396648429,-4.48339036379286,104.606977042429,65.9380370594,0,0
-6.19481699154642,-4.31519461120713,-2.2195488694107,1.16206202825,0.553180875402582,-0.482088427882143,27.2392517975321,7.87484073968212,-5.26715580860362,23.2408033425249,7.22223206650004,4.74998818725349,0,0,-6.11201852027505,-6.07879572379282,-4.41594974125356,58.8206342319856,15.8235889521072,-13.7975356471537,0,0,-6.78143767589999,7.20406097453569,-8.8868104950036,-13.4151220731464,-14.6516173185107,-8.81993403082144,105.280717103643,65.8246465025107,0,0,-5.36953990809999,-16.7148515932393,-4.70756821424641,104.354992187586,65.9070329640821,0,0
-5.7965156351286,-4.74259040384283,-2.70706173138568,1.15993816187143,0.550604287337703,-0.481220678885714,27.5109768829714,8.55211300332854,-4.71746526167144,26.7664225206997,8.10653790191436,6.90085441902839,0,0,-4.81002059182865,-6.88659013898568,-4.65985353767144,62.6501900811997,16.7921107429144,-12.8564130918001,0,0,-7.65834543154279,7.73732732941424,-7.68977065765723,-12.8626076269857,-14.9130173132428,-8.61240893487143,105.1488095657,65.8208796321286,0,0,-5.56388270852857,-16.5896224167429,-4.84833776954285,104.102490552986,65.8719201169,0,0
-5.4370316002893,-5.04066719689285,-3.22943556360716,1.15766857095714,0.548099316288752,-0.480335214228571,27.7825577653464,9.16060137032502,-3.93519810483569,30.3171332188856,9.0478286934536,9.13981671703565,0,0,-3.4166632854536,-7.54436110939641,-4.8903634909893,66.3285348429321,17.7380049242036,-11.9406701729393,0,0,-8.52896404453212,8.08006307496428,-6.44021500856071,-12.288423804225,-15.1628112901607,-8.42157043028215,105.004314421736,65.8082781818536,0,0,-5.75319230030714,-16.4488606905893,-4.96487722686784,103.83597570765,65.8309164902893,0,0
-5.18665404825001,-5.19537206392856,-3.72327673571428,1.15533509139286,0.545635681756283,-0.479487528464286,28.0458354721786,9.61829209296427,-3.17418130492858,33.6734103643214,10.033054273,11.21677888725,0,0,-1.82187309010713,-8.04408228574998,-5.01252158707141,69.8314949417143,18.6506542145714,-10.9317548625,0,0,-9.25803999382141,8.22525124721428,-5.28553998028573,-11.6953817206072,-15.4781772481428,-8.00966682575001,104.727814996071,65.8011037141429,0,0,-6.01249936942857,-16.2594885592143,-5.18443924310714,103.5602085105,65.7886906112143,0,0
-4.89760449409287,-5.27282632651788,-4.14078997987139,1.15307926815714,0.543424199416168,-0.478765762110714,27.9722613468607,9.97071260096784,-2.46497717504295,36.519113263407,10.926841179475,13.0837772778749,0,0,-0.203232784189384,-8.44779597244643,-5.03827133765713,73.0824606127248,19.5059332645214,-9.86672398785721,0,0,-9.99810706264282,8.24313365243216,-4.23647810695722,-11.0861063125036,-15.7566242119071,-7.65514734121072,104.470179789854,65.7929114773857,0,0,-6.25865910818214,-16.0658824864143,-5.33808432541071,103.308697727018,65.7580508176536,0,0
-4.64093668042859,-5.36703096314285,-4.47961825558568,1.15093427725714,0.541410217342928,-0.478167961042857,27.6359687464715,10.2558346271857,-1.96906867125719,38.8544041329426,11.7136394691857,14.8361988658141,0,0,1.50442065958548,-8.87527197184284,-4.9696220905286,76.145278125371,20.3206773326571,-8.72724378062871,0,0,-10.6659782764856,8.28349999299999,-3.29048214734296,-10.4698284170571,-16.0126415342429,-7.31889827524285,104.212409404886,65.7850229613143,0,0,-6.50152386348571,-15.8633991924143,-5.45879909302858,103.0685408347,65.7349507243571,0,0
-4.4972267215357,-5.4790018424143,-4.70004798823215,1.14884482934643,0.539596042944666,-0.477718963292857,27.1096954817321,10.4554845042393,-1.70863659471786,40.6100631854035,12.3678690952142,16.3951419202714,0,0,3.43702475802493,-9.30926661521784,-4.75300650334285,78.9934400266678,21.0960803600036,-7.48377596552506,0,0,-11.1612348251607,8.3539653313786,-2.47071257692857,-9.86277829946075,-16.2479280004357,-6.93495056725716,103.91218481065,65.7815794808286,0,0,-6.76009791097856,-15.6396929564607,-5.57330812089999,102.822671548871,65.7178949807321,0,0
-4.43455140261428,-5.59276660950715,-4.75724012895,1.14694397639286,0.538019088909371,-0.477480101807143,26.2974148472428,10.5599976904143,-1.64636524685,41.7108672757357,12.77338191965,17.9370909181429,0,0,5.53928856710717,-9.70056458330714,-4.32939139997141,81.5783270536929,21.8108219550143,-6.20121156787141,0,0,-11.5022953114857,8.43509552649287,-1.76507778592856,-9.28184888359289,-16.4287627608714,-6.61453064532857,103.644759116393,65.7760454391,0,0,-7.01175724980714,-15.4137973564429,-5.63999362106429,102.589547864729,65.7011997802714,0,0
-4.39622195219644,-5.67553874510714,-4.7298934592143,1.14520071323214,0.53673682230647,-0.477354117125,25.326486084375,10.551269087875,-1.70265806687498,42.4970198629464,13.0279455167321,19.3450519701607,0,0,7.70303976333925,-9.99903287560714,-3.81125494267858,83.87610501575,22.4587935278571,-5.00522282410716,0,0,-11.7665285594821,8.47515985537501,-1.10379208016071,-8.7204612620893,-16.575884215875,-6.32935158526786,103.407494157071,65.7690918572143,0,0,-7.26038945839286,-15.1868373473214,-5.67337602064286,102.379092507696,65.6871449182857,0,0
-4.42176562918571,-5.68151975217146,-4.65014107525715,1.14357252991429,0.535718380763333,-0.477233466714286,24.2589539043286,10.4230826208143,-1.81375455931428,42.9697096944571,13.1592824812571,20.6023059006428,0,0,9.96165613867131,-10.1634290502,-3.24162835820003,85.8661347045571,23.0511237869857,-3.89106669878576,0,0,-11.9089399089571,8.41823796707146,-0.449671569914317,-8.1936203118143,-16.6995607968429,-6.03192533294287,103.185894913443,65.7623616643857,0,0,-7.51657016815713,-14.9596065450857,-5.6808320964,102.199974212257,65.6764867662429,0,0
-4.48886044596072,-5.59171143770358,-4.53393247381071,1.14212210378571,0.535037611621088,-0.477019037396429,23.0646463544679,10.1974304026822,-1.86788352283927,43.1182836548857,13.1726207065607,21.6846644274,0,0,12.252636106025,-10.1796104532036,-2.65363214795356,87.4712406834214,23.5605864510215,-2.88006299132501,0,0,-11.9485603383107,8.23894770789288,0.264454490589265,-7.74451257634285,-16.745091937025,-5.87330475544285,103.051739539546,65.7465392053714,0,0,-7.76950556237857,-14.7397056840071,-5.63203882683572,102.04720696365,65.656614907525,0,0
-4.63859396630715,-5.46424802740715,-4.35011549325714,1.14079830156429,0.534698341588646,-0.476911166128571,21.8338305420857,9.89790854297144,-1.98897157696427,43.0095316092071,13.13065446225,22.5105647551786,0,0,14.6306171113357,-10.0869725221357,-2.04079429676427,88.7125822020857,23.9781918238429,-2.04971683067856,0,0,-11.84747063285,8.01151233427144,0.912371739607165,-7.32733818770714,-16.7771096359143,-5.69989015665714,102.923666132964,65.7215691083286,0,0,-8.03048186075,-14.5238376376571,-5.58335659465001,101.915597865814,65.62956508855,0,0
-4.81528311707498,-5.2699524741143,-4.17143910824645,1.13962387412143,0.53467464795249,-0.476768755157143,20.5067582565715,9.55680771650717,-2.03802038826784,42.6476278209321,13.0394331426679,23.1484978637214,0,0,16.9783376233355,-9.87994235942145,-1.50501297575003,89.5865889044392,24.3134235995857,-1.30900081123933,0,0,-11.6773522303215,7.67970590511074,1.58496619215354,-6.94311185241788,-16.8219665769429,-5.41552462340358,102.767818585886,65.6764043962607,0,0,-8.30467086346427,-14.3254259086,-5.577339930375,101.830620659343,65.5856891364357,0,0
